date_mesure,geocode_commune,libelle_commune,valeur
2025-01-01T00:00:00.000,19259,Sexcles,228
2025-01-01T00:00:00.000,02822,Vivières,403
2025-01-01T00:00:00.000,11364,Saint-Polycarpe,169
2025-01-01T00:00:00.000,17190,L'Houmeau,3000
2025-01-01T00:00:00.000,14705,Tournières,148
2025-01-01T00:00:00.000,18242,Sancoins,2951
2025-01-01T00:00:00.000,05070,Laragne-Montéglin,3549
2025-01-01T00:00:00.000,07263,Saint-Laurent-sous-Coiron,122
2025-01-01T00:00:00.000,11367,Saissac,904
2025-01-01T00:00:00.000,03297,Vallon-en-Sully,1457
2025-01-01T00:00:00.000,11411,Villanière,152
2025-01-01T00:00:00.000,05153,Saint-Michel-de-Chaillol,373
2025-01-01T00:00:00.000,05091,Moydans,38
2025-01-01T00:00:00.000,17313,Saint-Bris-des-Bois,388
2025-01-01T00:00:00.000,02196,Clacy-et-Thierret,289
2025-01-01T00:00:00.000,03309,Le Veurdre,475
2025-01-01T00:00:00.000,19098,Lagarde-Marc-la-Tour,928
2025-01-01T00:00:00.000,02346,Gizy,630
2025-01-01T00:00:00.000,16210,Marsac,742
2025-01-01T00:00:00.000,02370,Hargicourt,545
2025-01-01T00:00:00.000,07338,Vernoux-en-Vivarais,1982
2025-01-01T00:00:00.000,18259,Sury-ès-Bois,311
2025-01-01T00:00:00.000,08158,Étrépigny,268
2025-01-01T00:00:00.000,12163,Murasson,204
2025-01-01T00:00:00.000,11253,Montolieu,829
2025-01-01T00:00:00.000,07092,Freyssenet,48
2025-01-01T00:00:00.000,06118,Saint-Cézaire-sur-Siagne,4056
2025-01-01T00:00:00.000,07247,Saint-Jean-le-Centenier,871
2025-01-01T00:00:00.000,14117,Cabourg,3725
2025-01-01T00:00:00.000,01157,Fareins,2533
2025-01-01T00:00:00.000,19029,Branceilles,279
2025-01-01T00:00:00.000,02599,Pierremande,250
2025-01-01T00:00:00.000,18113,Ignol,173
2025-01-01T00:00:00.000,11313,Ricaud,331
2025-01-01T00:00:00.000,14223,Le Détroit,94
2025-01-01T00:00:00.000,02355,Gricourt,1011
2025-01-01T00:00:00.000,10026,Bailly-le-Franc,34
2025-01-01T00:00:00.000,21102,Brazey-en-Morvan,155
2025-01-01T00:00:00.000,09085,Castillon-en-Couserans,428
2025-01-01T00:00:00.000,11075,Castans,124
2025-01-01T00:00:00.000,16008,Ambérac,315
2025-01-01T00:00:00.000,08059,Belval-Bois-des-Dames,26
2025-01-01T00:00:00.000,02763,Vasseny,197
2025-01-01T00:00:00.000,12074,Condom-d'Aubrac,285
2025-01-01T00:00:00.000,17191,La Jard,426
2025-01-01T00:00:00.000,08321,Neuville-Day,168
2025-01-01T00:00:00.000,11201,Leuc,819
2025-01-01T00:00:00.000,13048,Jouques,4547
2025-01-01T00:00:00.000,08401,Saulces-Champenoises,219
2025-01-01T00:00:00.000,17366,Saint-Martin-de-Coux,444
2025-01-01T00:00:00.000,11125,Embres-et-Castelmaure,165
2025-01-01T00:00:00.000,10338,Saint-Étienne-sous-Barbuise,173
2025-01-01T00:00:00.000,03307,Verneuil-en-Bourbonnais,239
2025-01-01T00:00:00.000,06036,Castillon,425
2025-01-01T00:00:00.000,17268,Rives-de-Boutonne,419
2025-01-01T00:00:00.000,03098,Désertines,4259
2025-01-01T00:00:00.000,08191,Givonne,1055
2025-01-01T00:00:00.000,05184,Vitrolles,221
2025-01-01T00:00:00.000,10257,Morembert,30
2025-01-01T00:00:00.000,11103,Couiza,1132
2025-01-01T00:00:00.000,01136,Cruzilles-lès-Mépillat,984
2025-01-01T00:00:00.000,12200,Rivière-sur-Tarn,1069
2025-01-01T00:00:00.000,09134,Gestiès,38
2025-01-01T00:00:00.000,08058,Belval,232
2025-01-01T00:00:00.000,02090,Billy-sur-Ourcq,194
2025-01-01T00:00:00.000,17119,Corme-Écluse,1295
2025-01-01T00:00:00.000,19202,Sainte-Féréole,2081
2025-01-01T00:00:00.000,08256,Liry,92
